id,name_ja,name_zh-Hans,requiredLevel,base_role,base_style,base_faction,bonus_role,bonus_style,duration_1_hours,duration_1_rewards,duration_1_bonus_rewards,duration_2_hours,duration_2_rewards,duration_2_bonus_rewards,duration_3_hours,duration_3_rewards,duration_3_bonus_rewards,duration_4_hours,duration_4_rewards,duration_4_bonus_rewards,name_zh-Hant,name_en,name_kr
m-011,巡遊者昇格素材A 中級,旅人升阶素材A 中级,40,アタッカー|サポーター,,,,しっかり者|知的好奇心,4,tier-up_trekkers_a_t1:8~9|prize_egg:1~3,tier-up_trekkers_a_t1:1~2,8,tier-up_trekkers_a_t1:17~18|prize_egg:2~6,tier-up_trekkers_a_t1:3~4,12,tier-up_trekkers_a_t1:26~27|prize_egg:3~9,tier-up_trekkers_a_t1:5~6,20,tier-up_trekkers_a_t1:44~45|prize_egg:5~15,tier-up_trekkers_a_t1:8~9,旅人升階材料A 中級,Trekker Material A: Ⅱ,여행가 승급 재료A 중급
m-012,巡遊者昇格素材A 上級,旅人升阶素材A 高级,70,アタッカー|サポーター|アタッカー,,,,しっかり者|知的好奇心,4,tier-up_trekkers_a_t1:17|prize_egg:2~4,tier-up_trekkers_a_t1:3~4,8,tier-up_trekkers_a_t1:34|prize_egg:4~8,tier-up_trekkers_a_t1:6~7,12,tier-up_trekkers_a_t1:51|prize_egg:6~12,tier-up_trekkers_a_t1:10~11,20,tier-up_trekkers_a_t1:85|prize_egg:10~20,tier-up_trekkers_a_t1:17,旅人升階材料A 高級,Trekker Material A: Ⅲ,여행가 승급 재료A 고급
m-013,巡遊者昇格素材B 初級,旅人升阶素材B 初级,1,アタッカー,,,,収集家,4,tier-up_trekkers_b_t1:4|prize_egg:1~2,tier-up_trekkers_b_t1:0~1,8,tier-up_trekkers_b_t1:8|prize_egg:2~4,tier-up_trekkers_b_t1:1~2,12,tier-up_trekkers_b_t1:12|prize_egg:3~6,tier-up_trekkers_b_t1:2~3,20,tier-up_trekkers_b_t1:20|prize_egg:5~10,tier-up_trekkers_b_t1:4,旅人升階材料B 初級,Trekker Material B: I,여행가 승급 재료B 초급
m-014,巡遊者昇格素材B 中級,旅人升阶素材B 中级,40,アタッカー|サポーター,,,,収集家|独創性,4,tier-up_trekkers_b_t1:8~9|prize_egg:1~3,tier-up_trekkers_b_t1:1~2,8,tier-up_trekkers_b_t1:17~18|prize_egg:2~6,tier-up_trekkers_b_t1:3~4,12,tier-up_trekkers_b_t1:26~27|prize_egg:3~9,tier-up_trekkers_b_t1:5~6,20,tier-up_trekkers_b_t1:44~45|prize_egg:5~15,tier-up_trekkers_b_t1:8~9,旅人升階材料B 中級,Trekker Material B: Ⅱ,여행가 승급 재료B 중급
m-015,巡遊者昇格素材B 上級,旅人升阶素材B 高级,70,アタッカー|サポーター|アタッカー,,,,収集家|独創性,4,tier-up_trekkers_b_t1:17|prize_egg:2~4,tier-up_trekkers_b_t1:3~4,8,tier-up_trekkers_b_t1:34|prize_egg:4~8,tier-up_trekkers_b_t1:6~7,12,tier-up_trekkers_b_t1:51|prize_egg:6~12,tier-up_trekkers_b_t1:10~11,20,tier-up_trekkers_b_t1:85|prize_egg:10~20,tier-up_trekkers_b_t1:17,旅人升階材料B 高級,Trekker Material B: Ⅲ,여행가 승급 재료B 고급
m-016,巡遊者昇格素材C 初級,旅人升阶素材C 初级,1,バランサー,,,,独創性,4,tier-up_trekkers_c_t1:4|prize_egg:1~2,tier-up_trekkers_c_t1:0~1,8,tier-up_trekkers_c_t1:8|prize_egg:2~4,tier-up_trekkers_c_t1:1~2,12,tier-up_trekkers_c_t1:12|prize_egg:3~6,tier-up_trekkers_c_t1:2~3,20,tier-up_trekkers_c_t1:20|prize_egg:5~10,tier-up_trekkers_c_t1:4,旅人升階材料C 初級,Trekker Material C: I,여행가 승급 재료C 초급
m-017,巡遊者昇格素材C 中級,旅人升阶素材C 中级,40,バランサー|サポーター,,,,しっかり者|独創性,4,tier-up_trekkers_c_t1:8~9|prize_egg:1~3,tier-up_trekkers_c_t1:1~2,8,tier-up_trekkers_c_t1:17~18|prize_egg:2~6,tier-up_trekkers_c_t1:3~4,12,tier-up_trekkers_c_t1:26~27|prize_egg:3~9,tier-up_trekkers_c_t1:5~6,20,tier-up_trekkers_c_t1:44~45|prize_egg:5~15,tier-up_trekkers_c_t1:8~9,旅人升階材料C 中級,Trekker Material C: Ⅱ,여행가 승급 재료C 중급
m-018,巡遊者昇格素材C 上級,旅人升阶素材C 高级,70,バランサー|サポーター|バランサー,,,,しっかり者|独創性,4,tier-up_trekkers_c_t1:17|prize_egg:2~4,tier-up_trekkers_c_t1:3~4,8,tier-up_trekkers_c_t1:34|prize_egg:4~8,tier-up_trekkers_c_t1:6~7,12,tier-up_trekkers_c_t1:51|prize_egg:6~12,tier-up_trekkers_c_t1:10~11,20,tier-up_trekkers_c_t1:85|prize_egg:10~20,tier-up_trekkers_c_t1:17,旅人升階材料C 高級,Trekker Material C: Ⅲ,여행가 승급 재료C 고급
m-019,ロスレコ昇格素材A 初級,秘纹升阶素材A 初级,1,バランサー,,,,冒険家,4,tier-up_discs_a_t1:4|prize_egg:1~2,tier-up_discs_a_t1:0~1,8,tier-up_discs_a_t1:8|prize_egg:2~4,tier-up_discs_a_t1:1~2,12,tier-up_discs_a_t1:12|prize_egg:3~6,tier-up_discs_a_t1:2~3,20,tier-up_discs_a_t1:20|prize_egg:5~10,tier-up_discs_a_t1:4,祕紋升階材料A 初級,Disc Material A: I,레코드 승급 재료A 초급
m-020,ロスレコ昇格素材A 中級,秘纹升阶素材A 中级,40,バランサー|サポーター,,,,しっかり者|冒険家,4,tier-up_discs_a_t1:8~9|prize_egg:1~3,tier-up_discs_a_t1:1~2,8,tier-up_discs_a_t1:17~18|prize_egg:2~6,tier-up_discs_a_t1:3~4,12,tier-up_discs_a_t1:26~27|prize_egg:3~9,tier-up_discs_a_t1:5~6,20,tier-up_discs_a_t1:44~45|prize_egg:5~15,tier-up_discs_a_t1:8~9,祕紋升階材料A 中級,Disc Material A: Ⅱ,레코드 승급 재료A 중급
m-021,ロスレコ昇格素材A 上級,秘纹升阶素材A 高级,70,バランサー|サポーター|バランサー,,,,しっかり者|冒険家,4,tier-up_discs_a_t1:17|prize_egg:2~4,tier-up_discs_a_t1:3~4,8,tier-up_discs_a_t1:34|prize_egg:4~8,tier-up_discs_a_t1:6~7,12,tier-up_discs_a_t1:51|prize_egg:6~12,tier-up_discs_a_t1:10~11,20,tier-up_discs_a_t1:85|prize_egg:10~20,tier-up_discs_a_t1:17,祕紋升階材料A 高級,Disc Material A: Ⅲ,레코드 승급 재료A 고급
m-022,ロスレコ昇格素材B 初級,秘纹升阶素材B 初级,1,サポーター,,,,収集家,4,tier-up_discs_b_t1:4|prize_egg:1~2,tier-up_discs_b_t1:0~1,8,tier-up_discs_b_t1:8|prize_egg:2~4,tier-up_discs_b_t1:1~2,12,tier-up_discs_b_t1:12|prize_egg:3~6,tier-up_discs_b_t1:2~3,20,tier-up_discs_b_t1:20|prize_egg:5~10,tier-up_discs_b_t1:4,祕紋升階材料B 初級,Disc Material B: I,레코드 승급 재료B 초급
m-023,ロスレコ昇格素材B 中級,秘纹升阶素材B 中级,40,アタッカー|サポーター,,,,収集家|知的好奇心,4,tier-up_discs_b_t1:8~9|prize_egg:1~3,tier-up_discs_b_t1:1~2,8,tier-up_discs_b_t1:17~18|prize_egg:2~6,tier-up_discs_b_t1:3~4,12,tier-up_discs_b_t1:26~27|prize_egg:3~9,tier-up_discs_b_t1:5~6,20,tier-up_discs_b_t1:44~45|prize_egg:5~15,tier-up_discs_b_t1:8~9,祕紋升階材料B 中級,Disc Material B: Ⅱ,레코드 승급 재료B 중급
m-024,ロスレコ昇格素材B 上級,秘纹升阶素材B 高级,70,アタッカー|サポーター|アタッカー,,,,収集家|知的好奇心,4,tier-up_discs_b_t1:17|prize_egg:2~4,tier-up_discs_b_t1:3~4,8,tier-up_discs_b_t1:34|prize_egg:4~8,tier-up_discs_b_t1:6~7,12,tier-up_discs_b_t1:51|prize_egg:6~12,tier-up_discs_b_t1:10~11,20,tier-up_discs_b_t1:85|prize_egg:10~20,tier-up_discs_b_t1:17,祕紋升階材料B 高級,Disc Material B: Ⅲ,레코드 승급 재료B 고급
m-025,ロスレコ昇格素材C 初級,秘纹升阶素材C 初级,1,アタッカー,,,,独創性,4,tier-up_discs_c_t1:4|prize_egg:1~2,tier-up_discs_c_t1:0~1,8,tier-up_discs_c_t1:8|prize_egg:2~4,tier-up_discs_c_t1:1~2,12,tier-up_discs_c_t1:12|prize_egg:3~6,tier-up_discs_c_t1:2~3,20,tier-up_discs_c_t1:20|prize_egg:5~10,tier-up_discs_c_t1:4,祕紋升階材料C 初級,Disc Material C: I,레코드 승급 재료C 초급
m-026,ロスレコ昇格素材C 中級,秘纹升阶素材C 中级,40,アタッカー|バランサー,,,,独創性|知的好奇心,4,tier-up_discs_c_t1:8~9|prize_egg:1~3,tier-up_discs_c_t1:1~2,8,tier-up_discs_c_t1:17~18|prize_egg:2~6,tier-up_discs_c_t1:3~4,12,tier-up_discs_c_t1:26~27|prize_egg:3~9,tier-up_discs_c_t1:5~6,20,tier-up_discs_c_t1:44~45|prize_egg:5~15,tier-up_discs_c_t1:8~9,祕紋升階材料C 中級,Disc Material C: Ⅱ,레코드 승급 재료C 중급
m-027,ロスレコ昇格素材C 上級,秘纹升阶素材C 高级,70,アタッカー|バランサー|バランサー,,,,独創性|知的好奇心,4,tier-up_discs_c_t1:17|prize_egg:2~4,tier-up_discs_c_t1:3~4,8,tier-up_discs_c_t1:34|prize_egg:4~8,tier-up_discs_c_t1:6~7,12,tier-up_discs_c_t1:51|prize_egg:6~12,tier-up_discs_c_t1:10~11,20,tier-up_discs_c_t1:85|prize_egg:10~20,tier-up_discs_c_t1:17,祕紋升階材料C 高級,Disc Material C: Ⅲ,레코드 승급 재료C 고급
m-028,音楽ゲーム依頼 初級,节奏游戏委托 初级,1,アタッカー,,,,知的好奇心,12,skill_music_t1:11|piece_t1:6~7|prize_egg:1~2,skill_music_t1:2~3,20,skill_music_t1:18|piece_t1:10~11|prize_egg:2~4,skill_music_t1:4~5,,,,,,,節奏遊戲委託 初級,Rhythm Game: I,리듬 게임 의뢰 초급
m-029,音楽ゲーム依頼 中級,节奏游戏委托 中级,40,アタッカー|バランサー,,,,知的好奇心|収集家,12,skill_music_t1:16~17|piece_t1:9~10|prize_egg:1~3,skill_music_t1:4~5,20,skill_music_t1:28~29|piece_t1:16~17|prize_egg:2~6,skill_music_t1:7~8,,,,,,,節奏遊戲委託 中級,Rhythm Game: Ⅱ,리듬 게임 의뢰 중급
m-030,音楽ゲーム依頼 上級,节奏游戏委托 高级,70,アタッカー|バランサー|アタッカー,,,,知的好奇心|収集家,12,skill_music_t1:29~30|piece_t1:16~17|prize_egg:2~4,skill_music_t1:7~8,20,skill_music_t1:49~50|piece_t1:27|prize_egg:4~8,skill_music_t1:12,,,,,,,節奏遊戲委託 高級,Rhythm Game: Ⅲ,리듬 게임 의뢰 고급
m-031,弾幕ゲーム依頼 初級,射击游戏委托 初级,1,バランサー,,,,独創性,12,skill_danmaku_t1:11|piece_t1:6~7|prize_egg:1~2,skill_danmaku_t1:2~3,20,skill_danmaku_t1:18|piece_t1:10~11|prize_egg:2~4,skill_danmaku_t1:4~5,,,,,,,射擊遊戲委託 初級,Shooter Game: I,슈팅 게임 의뢰 초급
m-032,弾幕ゲーム依頼 中級,射击游戏委托 中级,40,バランサー|アタッカー,,,,独創性|しっかり者,12,skill_danmaku_t1:16~17|piece_t1:9~10|prize_egg:1~3,skill_danmaku_t1:4~5,20,skill_danmaku_t1:28~29|piece_t1:16~17|prize_egg:2~6,skill_danmaku_t1:7~8,,,,,,,射擊遊戲委託 中級,Shooter Game: Ⅱ,슈팅 게임 의뢰 중급
m-033,弾幕ゲーム依頼 上級,射击游戏委托 高级,70,バランサー|アタッカー|バランサー,,,,独創性|しっかり者,12,skill_danmaku_t1:29~30|piece_t1:16~17|prize_egg:2~4,skill_danmaku_t1:7~8,20,skill_danmaku_t1:49~50|piece_t1:27|prize_egg:4~8,skill_danmaku_t1:12,,,,,,,射擊遊戲委託 高級,Shooter Game: Ⅲ,슈팅 게임 의뢰 고급
m-034,格闘ゲーム依頼 初級,功夫游戏委托 初级,1,バランサー,,,,しっかり者,12,skill_fighting_t1:11|piece_t1:6~7|prize_egg:1~2,skill_fighting_t1:2~3,20,skill_fighting_t1:18|piece_t1:10~11|prize_egg:2~4,skill_fighting_t1:4~5,,,,,,,功夫遊戲委託 初級,Kung Fu Game: I,격투 게임 의뢰 초급
m-035,格闘ゲーム依頼 中級,功夫游戏委托 中级,40,バランサー|サポーター,,,,しっかり者|知的好奇心,12,skill_fighting_t1:16~17|piece_t1:9~10|prize_egg:1~3,skill_fighting_t1:4~5,20,skill_fighting_t1:28~29|piece_t1:16~17|prize_egg:2~6,skill_fighting_t1:7~8,,,,,,,功夫遊戲委託 中級,Kung Fu Game: Ⅱ,격투 게임 의뢰 중급
m-036,格闘ゲーム依頼 上級,功夫游戏委托 高级,70,バランサー|サポーター|サポーター,,,,しっかり者|知的好奇心,12,skill_fighting_t1:29~30|piece_t1:16~17|prize_egg:2~4,skill_fighting_t1:7~8,20,skill_fighting_t1:49~50|piece_t1:27|prize_egg:4~8,skill_fighting_t1:12,,,,,,,功夫遊戲委託 高級,Kung Fu Game: Ⅲ,격투 게임 의뢰 고급
